OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SXC,LIMIT_SELL,1014.355904,0.00000518,0.00001051,0.005254,12/21/2017 12:28:00 PM,12/21/2017 12:28:00 PM
5e5298ca-b2ff-479a-b818-d0814425b9b5,USDT-ETC,LIMIT_SELL,16.31250651,29.4,1.19896922,479.5876914,11/29/2017 12:30:43 PM,11/29/2017 12:38:35 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_BUY,12170.65868,0.00000043,0.00001047,0.005233,12/21/2017 12:34:00 PM,12/21/2017 12:34:00 PM
8c5d0ed2-8ac6-4d79-8203-7ddbc9c1f53d,USDT-XRP,LIMIT_BUY,1786.812311,0.267065,1.19298757,477.1950297,11/29/2017 12:37:21 PM,11/29/2017 12:37:21 PM
026225b1-6f6c-4c2f-9bfa-d4d37f1b4fd9,BTC-BCC,LIMIT_SELL,0.88009169,0.1331,0.00029285,0.1171402,12/4/2017 12:38:26 PM,12/4/2017 12:38:28 PM
73e35a90-6698-41fc-805d-3e4ba2964369,USDT-ETC,LIMIT_SELL,14.59549281,28.9,1.05571435,422.2857422,11/29/2017 12:38:58 PM,11/29/2017 12:39:34 PM
523cf0e8-9bd4-41e2-baba-67b6ca52d6c8,USDT-XRP,LIMIT_BUY,1576.467918,0.2665325,1.05044983,420.1799353,11/29/2017 12:40:30 PM,11/29/2017 12:40:31 PM
a5939086-d1fd-4f35-b462-bd457546f20d,USDT-BTG,LIMIT_BUY,0.00000817,321.42,0.00000656,0.002626,11/29/2017 12:41:46 PM,11/29/2017 3:37:04 PM
2ae39dca-6671-4a79-bb8f-f4ab31bbf820,BTC-ETH,LIMIT_SELL,1.24250815,0.0441496,0.00013714,0.05485623,11/16/2017 1:00:18 PM,11/16/2017 1:00:47 PM
f534bed6-f202-4b4d-8148-eb57eb5f11de,BTC-ADA,LIMIT_SELL,4331.066713,0.00001177,0.00012744,0.05097665,12/3/2017 1:00:32 PM,12/3/2017 1:00:32 PM
f0d016d5-31c9-45fd-9d25-44f3e980adb7,BTC-ARDR,LIMIT_SELL,1708.225128,0.00004002,0.00017111,0.06844906,12/3/2017 1:00:57 PM,12/3/2017 1:00:59 PM
754dcd44-6d89-488f-89df-3afd0c27d8f7,BTC-BCC,LIMIT_BUY,0.86553849,0.13728999,0.00029705,0.11882111,12/3/2017 1:01:27 PM,12/3/2017 1:01:27 PM
df2b34d4-27dc-447d-b356-a097362d3b93,BTC-LSK,LIMIT_BUY,43.66668768,0.00125,0.00013645,0.05458335,11/16/2017 1:30:23 PM,11/16/2017 1:30:48 PM
9e85953a-9b04-4789-87c2-145abeae50a3,USDT-ETC,LIMIT_SELL,12,30,0.89999999,360,11/29/2017 1:32:40 AM,11/29/2017 1:32:48 AM
af33ae9a-ca40-4ce9-9a59-fb638133d8d5,USDT-ZEC,LIMIT_BUY,0.99831775,359,0.89599017,358.3960723,11/29/2017 1:34:06 AM,11/29/2017 1:34:46 AM
e96b3847-444b-42d4-ac96-499862fc6f33,USDT-BTG,LIMIT_BUY,0.00000685,327.0000001,0.00000559,0.00223907,11/29/2017 1:35:30 AM,11/29/2017 1:35:30 AM
86379f26-cd64-42fe-8f26-f0a3cb458455,ETH-BCC,LIMIT_SELL,0.25,4.05,0.00253124,1.0125,11/14/2017 1:38:18 PM,11/14/2017 1:39:00 PM
8e50b558-988e-460d-ac5a-46c74af99543,USDT-ZEC,LIMIT_SELL,4.02342725,364.1,3.66232464,1464.929862,11/29/2017 1:45:57 PM,11/29/2017 1:46:05 PM
ad943366-4b39-4d61-8b50-2c38b66d309a,USDT-XRP,LIMIT_BUY,5433.666377,0.26825614,3.64403591,1457.614368,11/29/2017 1:46:58 PM,11/29/2017 1:48:42 PM
0413eab4-9aa8-41d0-957d-2303dded7fa7,USDT-BTG,LIMIT_BUY,0.00002703,337,0.0000227,0.00908208,11/29/2017 1:50:05 PM,11/29/2017 1:50:06 PM
7c7c0fc3-e69b-4567-a99d-7e0fd6b9156f,BTC-XRP,LIMIT_SELL,5118.53974,0.00002253,0.00028829,0.11532069,12/2/2017 2:00:27 AM,12/2/2017 2:00:27 AM
e53de1fc-954f-40e2-ba26-27f7a9ee82be,BTC-LSK,LIMIT_SELL,1,0.00146102,0.00000365,0.00146102,12/31/2017 2:10:28 PM,12/31/2017 2:10:29 PM
6ba9d0b6-7a43-4cd2-92dc-9fe8a0661386,BTC-TRIG,LIMIT_BUY,3.17878288,0.00045735,0.00000363,0.00145264,12/31/2017 2:11:03 PM,12/31/2017 2:11:03 PM
022c32f4-52f4-44cb-ba69-aadfe017ce4e,BTC-ARDR,LIMIT_SELL,426.6380513,0.00003296,0.00003516,0.01406879,11/11/2017 2:23:43 PM,11/11/2017 2:23:44 PM
699586cd-a093-43c8-8baa-a73fcb10f140,BTC-BCC,LIMIT_BUY,0.07070551,0.19799,0.00003499,0.01399898,11/11/2017 2:24:21 PM,11/11/2017 2:24:29 PM
e3f4322f-39a3-4d6d-9767-7bad9112c0c4,BTC-ADA,LIMIT_SELL,1000,0.00000422,0.00001055,0.00422,11/11/2017 2:25:44 PM,11/11/2017 2:26:27 PM
dcb33d10-8fa2-4323-bfb7-9f834f3edc3f,BTC-BCC,LIMIT_BUY,0.02234906,0.18788375,0.00001049,0.00419902,11/11/2017 2:27:14 PM,11/11/2017 2:27:17 PM
11a2bbb3-2961-4d8d-b136-6a663d09a467,ETH-BCC,LIMIT_SELL,0.43867154,2.3,0.00252236,1.00894454,11/10/2017 2:32:54 AM,11/10/2017 5:01:09 AM
