取引所,日付(JST),取引項目,通貨ペア(+),通貨ペア(-),取引量(+)原価ベース,取引額(+)BTCベース,取引額(+)JPY時価,取引額(+)JPY原価,取引量(-)原価ベース,取引額(-)BTCベース,取引額(-)JPY時価,取引額(-)JPY原価,当日BTC時価,取引手数料,手数料通貨,取引手数料(JPY)
zaif,2017/08/22,売り,JPY,ZAIF,20019.98192,"","","",54039.4,"","","","","","",""
zaif,2017/08/22,売り,JPY,ZAIF,38393.2613,"","","",103633.9,"","","","","","",""
coincheck,2017/08/22,買い,XRP,BTC,1619.8,"","","",0.100025,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,2254.925,"","","",0.005,"","","","","","",""
zaif,2017/08/23,売り,BTC,XEM,0.0921885,"","","",1499,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,8433.4195,"","","",0.0187,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,20790.4085,"","","",0.0461,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,2751.0085,"","","",0.0061,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,2254.925,"","","",0.005,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,96781.381,"","","",0.2146,"","","","","","",""
zaif,2017/08/23,売り,JPY,BTC,7711.8435,"","","",0.0171,"","","","","","",""
zaif,2017/08/23,買い,BTC,JPY,0.0001,"","","",45.596,"","","","","","",""
zaif,2017/08/23,買い,BTC,JPY,0.0006,"","","",273.6,"","","","","","",""
zaif,2017/08/23,買い,BTC,JPY,0.2776,"","","",126585.6,"","","","","","",""
zaif,2017/08/23,買い,BTC,JPY,0.0157,"","","",7159.2,"","","","","","",""
zaif,2017/08/23,買い,BTC,JPY,0.0152,"","","",6931.2,"","","","","","",""
zaif,2017/08/23,買い,ZAIF,BTC,54,"","","",0.0000486,"","","","","","",""
zaif,2017/08/23,買い,ZAIF,BTC,1,"","","",0.0000009,"","","","","","",""
zaif,2017/08/23,買い,ZAIF,JPY,84.9,"","","",35.08917,"","","","","","",""
coincheck,2017/08/23,買い,XRP,BTC,4309.3,"","","",0.3087,"","","","","","",""
coincheck,2017/08/23,買い,XRP,BTC,1380,"","","",0.0916,"","","","","","",""
bitFlyer,2017/08/23,売り,BTC,ETH,0.0071744,"","","",0.095,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,19980,"","","",0.0217782,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,33368,"","","",0.03637112,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,59206,"","","",0.06453454,"","","","","","",""
zaif,2017/08/24,売り,BTC,ZAIF,0.2453682,"","","",223062,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,55.1,"","","",27.25797,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
